SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1803195,182943,-31,48,45,Active,0,0
1715348,367990,-33,36,35,Active,0,0
1784872,397406,-32,12,9,Active,0,0
1903291,269225,-35,48,42,Active,0,0
2341044,334279,-35,36,35,Active,0,0
2207092,342166,-32,12,12,Active,0,0
1110516,204376,-38,48,43,Active,0,0
1387235,153211,-35,36,36,Active,0,0
1220500,112740,-31,12,12,Active,0,0
2371489,274851,-32,24,16,Active,0,0
2328294,287361,-32,12,12,Active,0,0
2023570,237959,-39,12,12,Active,0,0
1258390,278261,-32,36,36,Active,0,0
1627166,146161,-33,24,24,Active,0,0
1711625,131467,-34,12,5,Active,0,0
2374177,204722,-35,24,15,Active,0,0
1716688,405549,-33,12,1,Active,0,0
1846127,380050,-31,36,28,Active,0,0
1911764,312551,-32,24,16,Active,0,0
2645133,152810,-35,24,23,Active,0,0
1381005,195362,-34,60,56,Active,0,0
1366811,169489,-38,24,24,Active,0,0
1260621,244684,-32,18,12,Active,0,0
1445556,220181,-41,12,12,Active,0,0
1420240,386836,-41,12,11,Active,0,0
2631694,337149,-33,12,11,Active,0,0
1059679,139637,-31,12,12,Active,0,0
1865970,202091,-35,12,7,Active,0,0
2683316,454237,-32,18,15,Active,0,0
2759941,428330,-32,18,18,Active,0,0
2090361,336201,-35,12,12,Active,0,0
1463929,108990,-41,12,12,Active,0,0
2504959,122511,-34,36,35,Active,0,0
1873885,148915,-31,24,23,Active,0,0
1050971,220814,-33,18,12,Active,0,0
2701303,109846,-33,18,12,Active,0,0
2246356,331357,-35,36,35,Active,0,0
1519906,122077,-39,24,11,Active,0,0
2465534,266721,-35,18,17,Active,0,0
2833264,429694,-37,60,46,Active,0,0
2397883,223795,-31,12,7,Active,0,0
1010305,338532,-39,24,21,Active,0,0
1298869,210084,-41,48,0,Completed,0,0
1557122,420239,-38,24,4,Active,0,0
1891208,164877,-34,48,42,Active,0,0
1443121,370945,-33,24,24,Active,0,0
1894403,266542,-37,48,40,Active,0,0
2027470,391768,-41,48,40,Active,0,0
2294245,426454,-38,12,5,Active,0,0
1799734,344436,-32,48,46,Active,0,0
1099860,184062,-31,36,32,Active,0,0
2165412,239703,-35,12,12,Signed,0,0
1955907,134432,-34,4,0,Completed,0,0
1189925,445620,-31,12,12,Active,0,0
1288860,220431,-40,18,17,Active,0,0
2287226,224318,-37,24,19,Active,0,0
1367593,336653,-31,18,18,Signed,0,0
2738262,207514,-33,12,12,Active,0,0
1206782,380743,-38,12,12,Active,0,0
1928156,212022,-33,24,19,Active,0,0
1681892,208441,-34,48,1,Active,0,0
1395250,439255,-41,42,40,Active,0,0
1076996,328058,-34,24,9,Active,0,0
1057216,248533,-43,24,7,Active,0,0
1180672,368090,-43,24,7,Active,0,0
2136390,161052,-33,24,7,Active,0,0
1386295,186073,-35,24,9,Active,0,0
2167174,227867,-38,24,7,Active,1,1
1034821,168836,-41,24,7,Active,1,1
1257810,322245,-39,24,8,Active,0,0
2749299,296263,-34,24,8,Active,0,0
1377038,340169,-34,24,8,Active,0,0
1973850,312939,-37,24,8,Active,0,0
2249238,444700,-33,24,8,Active,0,0
2652147,427618,-43,24,7,Active,0,0
2259931,269074,-34,24,9,Active,0,0
1125816,295616,-43,24,9,Active,0,0
1523310,385026,-35,24,8,Active,0,0
2412599,234788,-43,24,8,Active,0,0
1573876,182026,-36,24,8,Active,0,0
2755863,127002,-40,24,7,Active,0,0
1201781,192181,-36,24,7,Active,0,0
2340537,429299,-42,24,8,Active,0,0
1752714,358344,-39,24,8,Active,0,0
1589870,179742,-35,24,10,Active,0,0
1565619,127195,-41,24,7,Active,0,0
2103399,123179,-34,24,9,Active,0,0
1592033,328846,-36,24,7,Active,0,0
1130043,346277,-40,24,9,Active,0,0
1560980,141739,-34,24,8,Active,0,0
1259393,373112,-42,24,8,Active,0,0
1515112,124624,-38,24,8,Active,0,0
1948420,256319,-35,24,7,Active,0,0
2629054,340062,-35,24,9,Active,0,0
1002666,129549,-40,24,8,Active,0,0
1230492,205698,-36,24,7,Active,0,0
1165758,133695,-37,24,8,Active,0,0
2023770,381265,-33,24,8,Active,0,0
2131141,288786,-34,24,9,Active,0,0
1029099,436137,-37,24,8,Active,0,0
2062185,195711,-43,24,8,Active,0,0
1557455,321337,-33,24,8,Active,0,0
2581532,288882,-36,24,7,Active,0,0
2698168,445811,-35,24,9,Active,0,0
1051003,441792,-35,24,8,Active,0,0
1011569,391719,-33,24,8,Active,0,0
2663259,328060,-35,25,9,Active,0,0
1176195,154399,-37,24,8,Active,0,0
2500703,201468,-33,24,7,Active,0,0
1065388,203670,-39,24,8,Active,0,0
2229938,420690,-35,24,8,Active,0,0
1262274,336710,-35,14,2,Active,0,0
2280634,249221,-36,24,9,Active,0,0
1356233,236491,-40,24,10,Active,0,0
1830944,353938,-36,24,9,Active,0,0
2411690,336868,-34,24,10,Active,0,0
2105048,144387,-43,24,10,Active,0,0
1475310,184200,-35,24,10,Active,0,0
2045061,415493,-43,24,8,Active,0,0
1881965,225903,-35,24,8,Active,0,0
1878723,167553,-41,24,7,Active,0,0
1077205,286826,-35,18,7,Active,0,0
1987205,276220,-40,24,8,Active,0,0
1710701,235590,-33,24,7,Active,0,0
2714240,302709,-38,16,0,Completed,0,0
2186619,454286,-33,24,8,Active,0,0
1835506,366754,-47,24,13,Active,0,0
1739516,213084,-41,12,1,Active,0,0
2203593,306023,-38,24,12,Active,0,0
1026091,161667,-38,24,12,Active,0,0
1972869,456070,-39,24,12,Active,0,0
2426282,296187,-39,24,11,Active,0,0
2292658,119666,-37,24,12,Active,0,0
1869861,356003,-43,24,11,Active,0,0
1473609,226899,-44,24,11,Active,0,0
1005502,225505,-38,18,11,Active,0,0
2436912,211783,-42,24,12,Active,0,0
1910819,384041,-43,24,13,Active,0,0
2712906,346921,-38,24,12,Active,0,0
1555424,439876,-38,24,13,Active,0,0
2755785,425450,-47,24,13,Active,0,0
1110849,121164,-43,24,13,Active,0,0
2141831,202695,-41,24,12,Active,0,0
2075694,438784,-44,24,13,Active,0,0
2051733,269987,-41,24,12,Active,0,0
1907996,407141,-39,24,13,Active,0,0
1460500,298215,-47,24,14,Active,0,0
1461041,319391,-39,12,3,Active,0,0
2653416,297133,-41,24,11,Active,2,2
2415063,171541,-46,24,1,Active,0,0
2396046,283657,-37,24,11,Active,0,0
2440197,262099,-39,24,11,Active,0,0
1206573,171867,-37,13,1,Active,0,0
2188536,354569,-42,24,12,Active,0,0
1648707,140844,-41,24,12,Active,0,0
2262300,145005,-43,24,11,Active,0,0
1681581,175252,-39,24,12,Active,0,0
1179655,164650,-45,24,12,Active,0,0
1077419,305818,-39,24,13,Active,0,0
2524070,198427,-47,24,14,Active,0,0
2474852,248933,-38,12,2,Active,0,0
1440011,445504,-46,12,2,Active,0,0
1911151,296481,-38,24,13,Active,0,0
2241316,239889,-38,24,14,Active,0,0
1042930,418578,-47,8,0,Active,0,0
1984700,164313,-40,24,12,Active,0,0
1519189,170917,-38,12,1,Active,0,0
2617607,203190,-39,24,14,Active,0,0
1434420,277964,-46,24,13,Active,0,0
1898081,232700,-39,24,13,Active,1,1
2332874,368165,-38,24,14,Active,0,0
2664981,400541,-40,24,13,Active,0,0
1655882,288348,-47,10,0,Completed,0,0
2208189,177192,-46,12,4,Active,0,0
2611432,283167,-38,24,14,Active,0,0
2820669,165868,-47,14,4,Active,0,0
1918899,167377,-40,24,14,Active,0,0
1686193,393279,-46,24,13,Active,0,0
2220685,147951,-40,24,13,Active,0,0
1223411,146581,-41,14,2,Active,0,0
2538282,169510,-44,24,13,Active,0,0
2594584,122393,-39,12,5,Active,0,0
2290489,360792,-46,24,12,Active,0,0
2547775,100676,-41,24,12,Active,0,0
1280408,314807,-41,24,13,Active,0,0
1595897,179333,-41,24,12,Active,0,0
2633356,342237,-39,24,12,Active,0,0
1900079,206519,-38,24,13,Active,0,0
2343680,149804,-37,24,12,Active,0,0
2359861,208944,-40,24,12,Active,0,0
2833563,214326,-36,24,8,Active,0,0
2725896,220983,-35,24,8,Active,0,0
1589296,225940,-34,24,8,Active,0,0
1186616,110183,-39,12,2,Active,0,0
1394818,177757,-37,24,7,Active,4,4
1532146,385905,-42,24,8,Active,0,0
2658477,171089,-34,24,7,Active,0,0
1080591,168533,-35,24,8,Active,0,0
2260888,306012,-42,24,9,Active,0,0
2674517,411841,-42,24,7,Active,0,0
2567983,448608,-33,16,0,Completed,0,0
1189861,315737,-34,24,8,Active,0,0
2274513,193802,-33,24,8,Active,0,0
1418542,168587,-36,24,9,Active,0,0
1885184,378291,-33,24,8,Active,0,0
2595400,349833,-35,24,9,Active,0,0
1000882,415744,-43,24,7,Active,0,0
2727564,194518,-36,24,8,Active,0,0
2397179,343916,-36,24,8,Active,0,0
1382363,158360,-40,24,9,Active,0,0
1125605,260390,-40,14,3,Active,0,0
2759928,278554,-35,24,9,Active,0,0
2007452,224553,-42,24,8,Active,0,0
1137612,281978,-35,24,7,Active,0,0
1363563,231129,-36,24,7,Active,0,0
1130764,416844,-37,24,8,Active,0,0
1820599,163214,-43,24,7,Active,0,0
1192377,390037,-36,15,0,Completed,0,0
1752908,172875,-40,15,0,Completed,0,0
1298727,176006,-34,24,8,Active,0,0
1425711,203002,-33,24,8,Active,0,0
2787522,259935,-35,24,8,Active,0,0
1826095,349506,-33,24,8,Active,0,0
2018344,235513,-36,24,8,Active,0,0
1414163,257863,-40,24,8,Active,0,0
1951620,244256,-37,24,8,Active,0,0
1313435,189349,-34,24,9,Active,0,0
2715237,154376,-42,24,8,Active,0,0
1600757,439140,-37,24,7,Active,0,0
2164928,316313,-42,24,7,Active,0,0
2797202,107508,-37,24,8,Active,0,0
1423210,323689,-37,24,7,Active,1,1
1495656,391148,-34,24,8,Active,0,0
1243081,402017,-39,24,8,Active,0,0
1130016,383677,-41,24,8,Active,0,0
1566325,351815,-35,24,8,Active,0,0
2239805,288017,-36,24,8,Active,0,0
2412854,356958,-42,24,8,Active,0,0
1469881,434872,-40,24,8,Active,0,0
1062819,190341,-43,24,8,Active,0,0
1660071,250235,-40,24,8,Active,0,0
2623535,168159,-34,24,9,Active,0,0
1723689,215841,-34,24,8,Active,0,0
2472119,364048,-35,24,8,Active,0,0
1425540,101741,-33,24,8,Active,0,0
1818080,311164,-40,24,7,Active,0,0
1496273,197007,-34,24,7,Active,3,3
2249082,417305,-37,24,8,Active,0,0
2299286,186202,-33,24,8,Active,0,0
1672735,178624,-35,24,8,Active,0,0
1873849,452545,-42,24,8,Active,0,0
1797213,172682,-34,24,9,Active,0,0
1492350,309918,-35,24,7,Active,0,0
2691544,187663,-34,24,9,Active,0,0
2275773,244259,-32,12,1,Active,0,0
2713356,369407,-27,14,4,Active,0,0
2320737,330671,-32,14,5,Active,0,0
1001754,349102,-25,12,4,Active,0,0
1103314,226117,-24,10,1,Active,0,0
2612717,224348,-30,11,0,Completed,0,0
1437026,425504,-28,18,8,Active,0,0
2789357,444086,-27,12,3,Active,0,0
1414981,394280,-31,14,3,Active,0,0
1171258,375937,-34,12,3,Active,0,0
2491972,187024,-34,12,4,Active,0,0
1921577,227919,-26,11,0,Completed,0,0
1620954,164009,-28,12,4,Active,0,0
1201738,345015,-27,12,3,Active,0,0
2595821,147887,-29,12,4,Active,0,0
2492575,342420,-32,12,4,Active,0,0
1874023,146630,-24,14,5,Active,0,0
2745245,422736,-31,24,14,Active,0,0
1578081,316922,-27,12,3,Active,0,0
2057633,278689,-25,12,2,Active,0,0
1551677,143795,-24,12,3,Active,0,0
2833550,175166,-28,12,3,Active,0,0
1102362,374671,-28,12,0,Completed,0,0
1564424,387053,-25,14,4,Active,0,0
1902893,190405,-34,24,16,Active,0,0
1219460,204933,-26,12,4,Active,0,0
2252722,180269,-25,12,4,Active,0,0
1542330,204985,-24,24,15,Active,0,0
1335460,103808,-34,12,3,Active,0,0
1366581,168138,-26,12,0,Active,0,0
1105615,373981,-24,18,7,Active,0,0
1976259,193175,-25,24,12,Active,18,18
1596386,373357,-32,12,4,Active,0,0
1672652,229142,-26,12,3,Active,0,0
1329480,139725,-24,12,0,Completed,0,0
2425818,175026,-26,14,3,Active,0,0
2073175,406186,-28,12,2,Active,7,7
2566846,322057,-27,12,0,Completed,0,0
1212721,131432,-32,24,16,Active,0,0
1464874,264411,-24,8,0,Completed,0,0
1424834,231559,-27,12,2,Active,0,0
1185099,131400,-26,24,12,Active,0,0
1840591,155048,-27,12,0,Completed,0,0
2009959,439097,-26,12,4,Active,0,0
2243016,105075,-29,10,2,Active,0,0
2227941,358187,-25,12,2,Active,0,0
1844027,356442,-27,24,11,Active,0,0
1263251,295004,-24,12,4,Active,0,0
2510084,383691,-26,12,1,Active,0,0
2491118,354236,-29,24,13,Active,0,0
2225025,400534,-32,14,4,Active,0,0
1693040,217934,-25,12,4,Active,0,0
1338658,411878,-25,12,1,Active,0,0
1424599,318410,-34,12,2,Active,0,0
1059128,222914,-28,24,12,Active,0,0
2807175,145017,-27,13,0,Active,0,0
2477876,224672,-28,12,1,Active,0,0
1794345,391252,-25,12,2,Active,0,0
2277916,161821,-32,24,13,Active,0,0
1198260,447590,-28,12,0,Active,0,0
1622838,220291,-24,12,0,Completed,0,0
1108138,109556,-25,12,0,Active,0,0
2166324,323345,-28,24,16,Active,0,0
1649136,392453,-28,24,16,Active,0,0
2287600,141761,-39,42,42,Active,0,0
1306172,347797,-40,24,23,Active,0,0
1728108,308296,-39,12,6,Active,0,0
1131137,244019,-40,12,6,Active,0,0
1947209,122798,-40,48,45,Active,0,0
1887746,195355,-45,24,18,Active,0,0
1333258,368794,-42,48,48,Signed,0,0
1221702,282150,-47,12,8,Active,0,0
2259087,218016,-39,12,10,Active,0,0
2144402,246225,-42,12,12,Active,0,0
2225327,146835,-39,48,10,Active,0,0
1295931,300651,-47,12,9,Active,0,0
1431469,202086,-39,12,6,Active,0,0
2593964,276337,-42,12,6,Active,0,0
2294245,426454,-45,12,12,Active,0,0
2444605,374627,-39,24,22,Active,0,0
1244490,435705,-38,36,34,Active,0,0
2190756,429817,-42,48,47,Active,0,0
2804866,380916,-46,48,47,Active,0,0
2107556,419312,-44,48,47,Active,0,0
1031776,442820,-44,24,9,Active,0,0
1551312,443106,-48,48,12,Active,0,0
1926124,439639,-40,48,5,Active,0,0
1532385,157131,-46,12,6,Active,0,0
2428746,141031,-47,24,18,Active,0,0
2427489,130385,-46,24,12,Active,0,0
1568931,420506,-41,24,14,Active,0,0
1840453,186181,-43,12,6,Active,0,0
2127943,248090,-46,36,30,Active,0,0
1642725,327832,-39,24,2,Active,0,0
2592418,116323,-38,30,19,Active,0,0
2249380,200997,-45,24,12,Active,0,0
1762157,206569,-39,24,9,Active,0,0
2120907,248027,-43,48,11,Active,0,0
1522975,158153,-38,48,5,Active,5,5
2328899,248474,-38,24,14,Active,0,0
2527579,184657,-38,12,5,Active,0,0
2793463,421234,-41,24,2,Active,0,0
2673257,227088,-40,36,29,Active,0,0
2503014,428431,-38,36,2,Active,0,0
2118390,306927,-48,24,3,Active,0,0
2100895,218295,-42,36,28,Active,0,0
2070620,381258,-42,36,29,Active,0,0
2379523,240156,-44,12,10,Active,0,0
2356234,414746,-38,48,45,Active,0,0
1841131,449445,-41,24,22,Active,0,0
1757017,184333,-47,24,24,Active,0,0
2524182,158237,-38,36,34,Active,0,0
2582005,427202,-38,24,21,Active,0,0
1906337,126373,-38,36,36,Active,0,0
1711625,131467,-41,12,12,Active,0,0
2608545,353704,-38,48,41,Active,0,0
2221615,130387,-45,24,1,Active,0,0
1496349,368921,-38,24,13,Active,0,0
1490233,293778,-47,12,9,Active,0,0
1468561,379231,-41,36,29,Active,0,0
1769938,144146,-39,12,10,Active,0,0
2080361,122171,-40,30,30,Active,0,0
2370883,324602,-40,12,10,Active,0,0
1681892,208441,-41,48,8,Active,0,0
1375640,128534,-40,12,12,Active,0,0
2253328,376819,-39,48,2,Active,0,0
1776659,113972,-41,24,23,Active,0,0
1220076,412570,-43,54,54,Active,0,0
1877758,340010,-45,24,11,Active,0,0
1648842,102723,-37,24,12,Active,0,0
1772613,383327,-40,24,12,Active,0,0
2100225,151641,-43,24,12,Active,0,0
2777082,350186,-37,24,11,Active,0,0
1382362,254233,-44,24,13,Active,0,0
2105677,264807,-40,24,11,Active,0,0
2623497,276229,-39,24,12,Active,0,0
2600512,391950,-42,24,12,Active,0,0
2822018,182048,-38,24,12,Active,0,0
1901919,167791,-39,24,11,Active,0,0
1940168,403553,-47,24,13,Active,0,0
2184830,453290,-41,24,12,Active,0,0
1204721,273758,-37,6,0,Completed,0,0
1630104,213213,-39,14,7,Active,0,0
2631723,315758,-37,24,13,Active,0,0
1384304,321684,-40,24,13,Active,0,0
1510098,102617,-47,24,12,Active,0,0
1176216,431369,-37,24,12,Active,0,0
1643875,207147,-38,24,13,Active,0,0
1984285,326752,-44,24,13,Active,0,0
2415173,380984,-39,24,13,Active,0,0
2191070,298273,-37,14,5,Active,0,0
1147074,351936,-46,12,5,Active,0,0
1206033,133428,-38,24,13,Active,0,0
1046187,162779,-37,24,14,Active,0,0
2496929,385920,-37,24,12,Active,0,0
1464123,362950,-40,24,13,Active,0,0
1281033,299080,-41,24,11,Active,0,0
1207028,293930,-38,24,12,Active,0,0
1815132,278337,-38,12,5,Active,0,0
2373929,324597,-37,9,0,Completed,0,0
1209910,318142,-39,24,13,Active,0,0
1416927,174265,-40,12,2,Active,0,0
1643196,135169,-45,24,1,Active,0,0
2774505,168601,-44,24,11,Active,0,0
2557963,273191,-37,24,11,Active,0,0
2303720,111386,-37,12,5,Active,0,0
2345059,199361,-45,24,12,Active,0,0
2184236,399242,-38,11,0,Active,0,0
2730454,199042,-37,14,7,Active,0,0
2463841,343962,-45,14,5,Active,0,0
1394525,127000,-45,24,13,Active,0,0
1690260,275558,-46,12,6,Active,0,0
1078206,318077,-41,24,13,Active,0,0
2445498,200119,-39,24,13,Active,0,0
2571174,437438,-40,12,4,Active,0,0
2622046,243286,-44,24,14,Active,0,0
1112559,253513,-41,12,4,Active,0,0
2116637,337030,-41,10,0,Completed,0,0
2411690,336868,-38,24,14,Active,0,0
2763452,313905,-39,24,13,Active,0,0
1979237,113557,-46,10,1,Active,0,0
1596682,405913,-45,14,3,Active,0,0
2579567,120755,-46,12,4,Active,0,0
1891726,438295,-37,24,12,Active,0,0
1586601,185632,-41,24,12,Active,0,0
1769685,211581,-37,24,13,Active,0,0
1301394,343583,-40,24,12,Active,0,0
1824530,398245,-40,24,11,Active,0,0
2227963,200552,-46,24,12,Active,0,0
1105961,456009,-47,24,12,Active,0,0
2537085,163708,-37,24,12,Active,0,0
2789273,304808,-15,11,0,Completed,0,0
2127088,266264,-19,18,12,Active,0,0
2822394,322553,-22,18,11,Active,0,0
1241675,143479,-22,10,0,Completed,0,0
1692671,387667,-14,6,0,Completed,0,0
1418383,203061,-18,6,0,Active,0,0
2246467,168370,-18,12,3,Active,0,0
2481827,431509,-18,12,1,Active,0,0
1310252,324952,-18,24,18,Active,0,0
1301900,294255,-16,12,5,Active,0,0
2702700,140289,-14,12,3,Active,0,0
1820534,143801,-18,12,5,Active,0,0
1238030,182736,-18,24,17,Active,0,0
1312359,181274,-21,18,11,Active,0,0
2605651,283978,-21,6,0,Completed,0,0
2315839,202386,-17,6,0,Completed,0,0
2446077,388561,-24,5,0,Completed,0,0
1688630,298203,-16,18,11,Active,1,1
2310286,111389,-17,18,7,Active,0,0
2301205,242771,-18,12,6,Active,0,0
2332841,312118,-18,17,12,Active,0,0
2098917,223057,-18,6,6,Active,0,0
1743542,364310,-25,6,6,Active,0,0
2053895,388853,-20,10,6,Active,0,0
2190477,345462,-18,24,22,Active,0,0
1436666,173149,-19,24,21,Active,0,0
2721509,339841,-15,6,4,Active,0,0
1276914,455489,-25,6,6,Active,0,0
1793776,314274,-15,6,6,Active,0,0
1768461,133372,-21,6,3,Active,0,0
2584708,102489,-18,24,22,Active,0,0
1824849,454092,-22,12,8,Active,0,0
1036107,387238,-19,6,5,Active,0,0
2523542,196878,-22,3,0,Active,0,0
2126984,342005,-19,18,16,Active,0,0
2310031,358849,-19,14,13,Active,0,0
1896645,276547,-16,12,11,Active,0,0
2169225,326606,-25,10,8,Active,0,0
1481252,202627,-15,6,3,Active,0,0
2186801,257688,-17,10,7,Active,0,0
2414137,400673,-21,24,22,Active,0,0
1469817,373648,-15,6,5,Active,0,0
1418043,413955,-15,6,5,Active,0,0
2772594,349004,-18,18,16,Active,0,0
1418349,435429,-16,6,5,Active,0,0
1002022,361878,-19,24,21,Active,0,0
2267892,261285,-19,12,11,Active,0,0
1054561,299130,-16,24,23,Active,0,0
1193038,272399,-22,6,2,Active,0,0
1487054,194017,-18,18,17,Active,0,0
1684283,137193,-25,18,16,Active,0,0
2518749,235443,-17,6,3,Active,0,0
1641591,199699,-23,10,6,Active,0,0
1012853,334273,-25,3,0,Completed,0,0
2111010,428717,-17,6,4,Active,0,0
